Code,Party or Designation Name,Primaries Held
V ,AMERICA FIRST PARTY,N
Q ,AMERICAN INDEPENDENT,N
BB,AMERICAN TERM LIMITS,N
A ,CONSERVATIVE,N
K ,CONSTITUTION PARTY,N
D ,DEMOCRAT,Y
G ,GREEN PARTY USA,N
J ,GREEN-RAINBOW,N
T ,INTER. 3RD PARTY,N
EE,LATINO-VOTE PARTY,N
L ,LIBERTARIAN,N
O ,MASS INDEPENDENT PTY,N
B ,NATURAL LAW PARTY,N
N ,NEW ALLIANCE,N
C ,NEW WORLD COUNCIL,N
X ,PIRATE,N
AA,PIZZA PARTY,N
P ,PROHIBITION,N
F ,RAINBOW COALITION,N
E ,REFORM,N
R ,REPUBLICAN,Y
S ,SOCIALIST,N
FF,THE PEOPLE'S PARTY,N
M ,TIMESIZING NOT DOWN,N
DD,TWELVE VISIONS PARTY,N
U ,UNENROLLED,N
CC,UNITED INDEPENDENT PARTY,N
HH,UNITY PARTY,N
W ,VETERAN PRTY AMERICA,N
H ,WE THE PEOPLE,N
GG,WORKERS PARTY,N
Z ,WORKING FAMILIES,N
Y ,WORLD CITIZENS PARTY,N